no,date,honsuji1,honsuji2,honsuji3,honsuji4,honsuji5,honsuji6,honsuji7,bonus_suji1,bonus_suji2
213,20170519,05,13,15,18,19,24,35,20,23
214,20170526,02,06,09,12,31,36,37,03,22
215,20170602,11,12,13,21,29,36,37,07,09
216,20170609,09,14,22,24,25,36,37,08,28
217,20170616,04,06,26,27,28,35,36,24,34
218,20170623,15,16,17,21,26,29,30,10,34
219,20170630,06,09,13,14,21,25,31,02,04
220,20170707,07,09,11,18,25,28,35,20,27
221,20170714,01,02,09,11,17,30,35,13,36
222,20170721,03,09,18,21,23,27,29,35,37
223,20170728,10,13,19,21,26,33,34,24,25
224,20170804,02,04,07,10,12,29,34,01,21
225,20170811,13,15,17,18,20,21,26,25,29
226,20170818,12,17,21,24,26,30,32,10,22
227,20170825,02,03,07,09,22,23,26,29,30
228,20170901,06,11,14,21,24,28,31,22,36
229,20170908,02,03,09,30,33,36,37,01,32
230,20170915,03,05,08,15,22,25,27,18,31
231,20170922,04,15,18,24,25,34,36,10,26
232,20170929,02,04,07,09,15,35,37,10,23
233,20171006,03,13,17,25,26,27,29,08,37
234,20171013,07,14,15,16,23,25,30,05,34
235,20171020,02,09,13,18,21,33,34,03,11
236,20171027,19,22,23,34,35,36,37,10,30
237,20171103,03,04,07,19,20,21,29,08,33
238,20171110,03,21,26,33,34,35,37,23,31
239,20171117,08,13,17,21,23,28,37,01,14
240,20171124,09,12,14,24,29,31,35,05,30
241,20171201,05,11,12,19,21,26,28,04,20
242,20171208,01,05,13,17,31,32,35,19,24
243,20171215,06,09,13,18,20,22,30,11,14
244,20171222,02,09,17,22,32,34,36,11,12
245,20171229,02,08,09,11,24,26,27,07,36
246,20180105,03,06,09,19,23,25,31,21,36
247,20180112,10,12,13,16,34,35,36,11,37
248,20180119,01,05,06,22,25,27,31,12,18
249,20180126,09,20,28,29,31,34,37,05,25
250,20180202,05,09,10,13,26,30,34,18,23
251,20180209,01,15,20,26,28,34,37,23,30
252,20180216,08,23,24,25,27,30,31,11,17
253,20180223,06,07,09,12,15,17,24,26,29
254,20180302,01,12,14,18,23,24,31,07,26
255,20180309,01,04,11,13,15,21,32,05,10
256,20180316,14,21,24,27,30,33,37,19,20
257,20180323,05,15,16,26,27,32,35,23,28
258,20180330,01,03,11,20,23,32,35,25,26
259,20180406,05,06,15,19,22,29,32,04,31
260,20180413,04,08,12,23,29,31,34,05,06
261,20180420,04,14,15,17,21,23,26,07,08
262,20180427,02,06,07,09,19,23,36,05,15
263,20180504,01,05,11,16,27,35,36,06,14
264,20180511,08,13,15,17,21,26,29,04,24
265,20180518,12,13,15,19,21,24,36,10,37
266,20180525,06,11,15,17,20,27,32,16,22
267,20180601,08,13,18,20,23,25,26,06,28
268,20180608,04,05,09,15,29,31,33,26,27
269,20180615,01,09,15,24,31,33,36,02,26
270,20180622,01,02,11,13,15,24,25,26,28
271,20180629,01,09,15,16,19,32,35,14,31
272,20180706,02,05,08,15,18,26,31,19,25
273,20180713,13,15,21,23,26,32,34,05,09
274,20180720,09,14,21,23,25,26,37,07,29
275,20180727,08,09,15,19,24,25,35,34,37
276,20180803,03,06,12,17,22,34,35,02,33
277,20180810,06,07,09,11,21,23,25,01,22
278,20180817,06,09,14,21,23,33,36,27,28
279,20180824,07,11,15,17,19,23,31,09,37
280,20180831,04,09,10,11,24,32,35,02,37
281,20180907,01,02,17,19,20,22,26,30,36
282,20180914,10,17,18,25,29,35,36,07,14
283,20180921,13,14,15,17,23,29,31,10,19
284,20180928,06,07,10,25,29,30,33,01,31
285,20181005,11,15,21,26,30,34,35,04,36
286,20181012,04,05,14,17,18,29,37,27,31
287,20181019,02,07,10,20,24,29,34,04,08
288,20181026,01,08,09,16,27,32,37,17,31
289,20181102,02,07,10,12,16,17,34,23,25
290,20181109,03,13,22,26,31,32,37,29,35
291,20181116,01,11,18,19,21,29,37,05,15
292,20181123,12,15,25,26,27,29,35,24,30
293,20181130,11,13,15,20,27,29,35,01,07
294,20181207,03,04,06,10,14,22,29,28,32
295,20181214,04,05,06,08,09,22,32,13,26
296,20181221,01,08,10,12,18,28,29,25,27
297,20181228,02,03,11,16,23,28,36,08,24
298,20190104,01,03,08,11,18,19,22,26,30
299,20190111,01,06,10,13,16,26,36,28,30
300,20190118,04,07,21,31,33,34,35,06,12
301,20190125,04,11,12,25,27,30,33,05,19
302,20190201,08,16,26,27,28,32,34,04,25
303,20190208,04,07,14,17,21,34,37,10,30
304,20190215,07,09,10,17,28,33,36,18,23
305,20190222,06,17,23,24,27,28,31,10,18
306,20190301,12,13,15,22,25,33,35,01,31
307,20190308,05,08,15,24,25,32,35,20,26
308,20190315,05,06,11,15,20,32,33,13,25
309,20190322,01,07,13,14,16,21,22,18,34
310,20190329,17,25,26,28,31,32,37,06,09
311,20190405,09,11,18,24,26,27,37,30,33
312,20190412,01,02,04,18,20,29,34,17,30
313,20190419,09,13,16,23,28,29,30,01,20
314,20190426,03,06,08,19,32,34,35,12,30
315,20190503,03,11,18,26,30,33,37,28,31
316,20190510,03,09,10,17,30,33,34,06,08
317,20190517,07,08,14,15,16,20,29,18,19
318,20190524,04,05,10,12,27,34,36,03,14
319,20190531,02,06,14,23,28,31,35,19,27
320,20190607,05,06,18,22,26,33,34,36,37
321,20190614,15,24,27,28,29,34,35,09,25
322,20190621,01,10,11,21,26,29,30,14,20
323,20190628,11,14,15,21,26,34,36,23,27
324,20190705,09,13,16,17,18,19,20,30,36
325,20190712,04,14,17,18,21,31,33,06,20
326,20190719,01,02,17,18,24,27,29,12,32
